SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID
11,2014,114285070,1,101,12,3200,114285070_101
11,2014,114285134,1,101,12,10009,114285134_101
11,2014,114285134,1,102,12,10009,114285134_102
11,2014,114285134,1,103,12,10009,114285134_103
11,2014,114285134,1,104,12,10009,114285134_104
11,2014,114285134,1,105,12,10009,114285134_105
11,2014,114285343,1,101,12,11244,114285343_101
11,2014,114285343,1,102,12,11244,114285343_102
11,2014,114285465,1,101,12,4959,114285465_101
11,2014,114285465,1,102,12,4959,114285465_102
11,2014,114285746,1,101,12,7162,114285746_101
11,2014,114285746,1,102,12,7162,114285746_102
11,2014,114285765,1,101,12,1277,114285765_101
11,2014,114285765,1,102,12,1277,114285765_102
11,2014,114285770,1,101,12,2000,114285770_101
11,2014,114552134,1,101,12,1874,114552134_101
11,2014,114552134,1,102,12,1874,114552134_102
11,2014,114552134,1,103,12,1874,114552134_103
11,2014,114552343,1,101,12,675,114552343_101
11,2014,114552343,1,102,12,675,114552343_102
11,2014,114552343,1,103,12,675,114552343_103
11,2014,114552343,1,104,12,675,114552343_104
11,2014,114552343,1,105,12,675,114552343_105
11,2014,114552343,1,106,12,675,114552343_106
11,2014,114552369,1,101,12,2721,114552369_101
11,2014,114552369,1,102,12,2721,114552369_102
11,2014,114552765,1,101,12,2771,114552765_101
11,2014,114816023,1,101,12,2149,114816023_101
11,2014,114816253,1,101,12,4196,114816253_101
11,2014,114816253,1,102,12,4196,114816253_102
11,2014,114816465,1,101,12,1387,114816465_101
11,2014,114816765,1,101,12,813,114816765_101
11,2014,128892294,1,101,12,210,128892294_101
11,2014,128892294,1,102,12,0,128892294_102
11,2014,128892932,1,101,12,8,128892932_101
11,2014,128892932,1,102,12,8,128892932_102
11,2014,133450932,1,101,12,996,133450932_101
11,2014,353892932,1,101,12,0,353892932_101
11,2014,353892932,1,102,12,0,353892932_102
11,2014,379450932,1,101,12,21,379450932_101
11,2014,399892932,1,101,12,1136,399892932_101
11,2014,399892932,1,102,12,1136,399892932_102
11,2014,399892932,1,103,12,1136,399892932_103
11,2014,399892932,1,104,12,1136,399892932_104
11,2014,418037040,1,101,12,9786,418037040_101
11,2014,418037040,1,102,12,9786,418037040_102
11,2014,418037040,1,103,12,9786,418037040_103
11,2014,418037040,1,104,12,9786,418037040_104
11,2014,418037420,1,101,12,7192,418037420_101
11,2014,418037420,1,102,12,7192,418037420_102
11,2014,418037420,1,103,12,7192,418037420_103
11,2014,418037420,1,104,12,0,418037420_104
11,2014,418049023,1,101,12,2200,418049023_101
11,2014,418049023,1,102,12,2200,418049023_102
11,2014,418049746,1,101,12,5859,418049746_101
11,2014,418049746,1,102,12,5859,418049746_102
11,2014,418049765,1,101,12,325,418049765_101
11,2014,418049770,1,101,12,8434,418049770_101
11,2014,418049770,1,102,12,8434,418049770_102
11,2014,418049770,1,103,12,8434,418049770_103
11,2014,418057553,1,101,12,1725,418057553_101
11,2014,418086233,1,101,12,3790,418086233_101
11,2014,418086360,1,101,12,3607,418086360_101
11,2014,418086360,1,102,12,3607,418086360_102
11,2014,418086360,1,103,12,3607,418086360_103
11,2014,418086360,1,104,12,3607,418086360_104
11,2014,418086753,1,101,12,749,418086753_101
11,2014,418086894,1,101,12,7042,418086894_101
11,2014,418086894,1,102,12,7042,418086894_102
11,2014,418086894,1,103,12,7042,418086894_103
11,2014,418086894,1,104,12,7042,418086894_104
11,2014,418086894,1,105,12,7042,418086894_105
11,2014,418086933,1,101,12,2245,418086933_101
11,2014,418092207,1,101,12,6221,418092207_101
11,2014,418092660,1,101,12,2180,418092660_101
11,2014,418092660,1,102,12,2180,418092660_102
11,2014,418092660,1,103,12,2180,418092660_103
11,2014,418092831,1,101,12,0,418092831_101
11,2014,418092944,1,101,12,2123,418092944_101
11,2014,418092944,1,102,12,2123,418092944_102
11,2014,418092944,1,103,12,2123,418092944_103
11,2014,418092944,1,104,12,2123,418092944_104
11,2014,418114194,1,101,12,471,418114194_101
11,2014,418114194,1,102,12,471,418114194_102
11,2014,418114194,1,103,12,471,418114194_103
11,2014,418114194,1,104,12,471,418114194_104
11,2014,418114194,1,105,12,471,418114194_105
11,2014,418114194,1,106,12,471,418114194_106
11,2014,418114194,1,107,12,471,418114194_107
11,2014,418114602,1,101,12,11325,418114602_101
