SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,114285070,3,101,12,4190,114285070_101
11,2014,114285134,3,101,12,6353,114285134_101
11,2014,114285134,3,102,12,6353,114285134_102
11,2014,114285134,3,103,12,6353,114285134_103
11,2014,114285134,3,104,12,6353,114285134_104
11,2014,114285134,3,105,12,6353,114285134_105
11,2014,114285343,3,101,12,12265,114285343_101
11,2014,114285343,3,102,12,12265,114285343_102
21,2014,114285765,3,101,12,3916,114285765_101
21,2014,114285765,3,102,12,3916,114285765_102
31,2014,114552134,3,101,12,2504,114552134_101
31,2014,114552134,3,102,12,2504,114552134_102
31,2014,114552134,3,103,12,2504,114552134_103
31,2014,114552134,3,301,12,2504,114552134_301
21,2014,114552343,3,101,12,0,114552343_101
21,2014,114552343,3,102,12,0,114552343_102
21,2014,114552343,3,103,12,0,114552343_103
21,2014,114552343,3,104,12,0,114552343_104
21,2014,114552343,3,105,12,0,114552343_105
21,2014,114552343,3,106,12,0,114552343_106
11,2014,114552369,3,101,12,2649,114552369_101
11,2014,114552369,3,102,12,2649,114552369_102
11,2014,114552369,3,201,12,2649,114552369_201
11,2014,114552765,3,101,12,2536,114552765_101
11,2014,114816023,3,101,12,2500,114816023_101
11,2014,114816253,3,101,12,2923,114816253_101
31,2014,114816253,3,102,12,7457,114816253_102
31,2014,114816253,3,301,12,7457,114816253_301
11,2014,114816465,3,101,12,1872,114816465_101
11,2014,114816765,3,101,12,852,114816765_101
21,2014,128892294,3,101,12,2299,128892294_101
21,2014,128892294,3,301,12,664,128892294_301
31,2014,133450932,3,101,12,1550,133450932_101
31,2014,379450932,3,101,12,1628,379450932_101
21,2014,399892932,3,102,12,4436,399892932_102
32,2014,399892932,3,103,12,330,399892932_103
22,2014,399892932,3,104,12,12019,399892932_104
22,2014,399892932,3,301,12,12019,399892932_301
22,2014,399892932,3,302,12,12019,399892932_302
22,2014,399892932,3,303,12,12019,399892932_303
32,2014,399892932,3,304,12,330,399892932_304
11,2014,418037420,3,101,12,7933,418037420_101
11,2014,418037420,3,103,12,7933,418037420_103
31,2014,418049765,3,101,12,0,418049765_101
31,2014,418049770,3,101,12,5580,418049770_101
32,2014,418049770,3,102,12,9486,418049770_102
32,2014,418049770,3,103,12,9486,418049770_103
32,2014,418049770,3,301,12,9486,418049770_301
32,2014,418049770,3,302,12,9486,418049770_302
32,2014,418049770,3,303,12,9486,418049770_303
11,2014,418057553,3,101,12,5525,418057553_101
11,2014,418086233,3,101,12,5352,418086233_101
11,2014,418086360,3,101,12,1984,418086360_101
11,2014,418086360,3,103,12,1984,418086360_103
11,2014,418086360,3,104,12,1984,418086360_104
31,2014,418086753,3,101,12,2009,418086753_101
11,2014,418086894,3,101,12,19538,418086894_101
11,2014,418086894,3,102,12,19538,418086894_102
11,2014,418086894,3,103,12,19538,418086894_103
11,2014,418086894,3,104,12,19538,418086894_104
11,2014,418086894,3,105,12,19538,418086894_105
21,2014,418092207,3,101,12,7488,418092207_101
31,2014,418092660,3,101,12,720,418092660_101
11,2014,418114194,3,101,12,3061,418114194_101
11,2014,418114194,3,102,12,3061,418114194_102
11,2014,418114194,3,103,12,3061,418114194_103
11,2014,418114194,3,104,12,3061,418114194_104
11,2014,418114194,3,105,12,3061,418114194_105
11,2014,418114194,3,106,12,3061,418114194_106
11,2014,418114194,3,107,12,3061,418114194_107
11,2014,418114602,3,101,12,9420,418114602_101
11,2014,418114602,3,102,12,9420,418114602_102
11,2014,418114602,3,103,12,9420,418114602_103
31,2014,418136060,3,101,12,543,418136060_101
31,2014,418136060,3,301,12,0,418136060_301
11,2014,418172023,3,101,12,9311,418172023_101
11,2014,418172023,3,102,12,9311,418172023_102
11,2014,418172253,3,101,12,6792,418172253_101
11,2014,418172253,3,102,12,6792,418172253_102
11,2014,418172516,3,101,12,3232,418172516_101
11,2014,418172516,3,102,12,3232,418172516_102
11,2014,418172516,3,103,12,3232,418172516_103
11,2014,418172676,3,101,12,5839,418172676_101
11,2014,418172676,3,102,12,5839,418172676_102
11,2014,418172676,3,103,12,5839,418172676_103
11,2014,418172676,3,301,12,5839,418172676_301
21,2014,418172689,3,101,12,8223,418172689_101
21,2014,418172689,3,102,12,8223,418172689_102
21,2014,418172689,3,201,12,8223,418172689_201
11,2014,418172737,3,101,12,1562,418172737_101
11,2014,418172737,3,102,12,1562,418172737_102
11,2014,418172737,3,103,12,1562,418172737_103
11,2014,418185029,3,101,12,10510,418185029_101
11,2014,418185029,3,102,12,10510,418185029_102
11,2014,418185142,3,101,12,1600,418185142_101
11,2014,418185142,3,102,12,1600,418185142_102
11,2014,418185142,3,103,12,1600,418185142_103
11,2014,418185142,3,104,12,1600,418185142_104
11,2014,418185142,3,105,12,1600,418185142_105
11,2014,418185482,3,101,12,10923,418185482_101
11,2014,418185482,3,102,12,10923,418185482_102
11,2014,418185482,3,103,12,10923,418185482_103
11,2014,418185773,3,101,12,1758,418185773_101
11,2014,418199173,3,101,12,2360,418199173_101
11,2014,418199360,3,101,12,2214,418199360_101
11,2014,418199619,3,101,12,4421,418199619_101
11,2014,418199619,3,102,12,4421,418199619_102
11,2014,418199753,3,101,12,8561,418199753_101
11,2014,418199753,3,102,12,8561,418199753_102
11,2014,418199753,3,103,12,8561,418199753_103
11,2014,418199755,3,101,12,4867,418199755_101
11,2014,418199755,3,102,12,4867,418199755_102
11,2014,418199950,3,101,12,5284,418199950_101
11,2014,418199950,3,102,12,5284,418199950_102
11,2014,418199950,3,103,12,5284,418199950_103
11,2014,418199950,3,104,12,5284,418199950_104
11,2014,418209035,3,101,12,8121,418209035_101
11,2014,418209035,3,102,12,8121,418209035_102
11,2014,418209291,3,101,12,7705,418209291_101
11,2014,418209291,3,102,12,7705,418209291_102
11,2014,418209291,3,103,12,7705,418209291_103
11,2014,418209291,3,104,12,7705,418209291_104
11,2014,418209316,3,101,12,5320,418209316_101
11,2014,418209316,3,102,12,5320,418209316_102
11,2014,418209316,3,103,12,5320,418209316_103
11,2014,418209316,3,104,12,5320,418209316_104
11,2014,418209316,3,105,12,5320,418209316_105
11,2014,418209316,3,106,12,5320,418209316_106
11,2014,418209373,3,101,12,8590,418209373_101
11,2014,418209373,3,102,12,8590,418209373_102
11,2014,418209373,3,103,12,8590,418209373_103
11,2014,418209903,3,101,12,5504,418209903_101
11,2014,418209903,3,201,12,5504,418209903_201
11,2014,418209903,3,202,12,5504,418209903_202
11,2014,418209903,3,203,12,5504,418209903_203
11,2014,418209905,3,101,12,6394,418209905_101
11,2014,418209905,3,102,12,6394,418209905_102
11,2014,418215291,3,101,12,2951,418215291_101
11,2014,418215316,3,101,12,1993,418215316_101
11,2014,418215316,3,102,12,1993,418215316_102
11,2014,418215316,3,103,12,1993,418215316_103
11,2014,418215316,3,104,12,1993,418215316_104
11,2014,418215449,3,101,12,2129,418215449_101
11,2014,418215449,3,102,12,2129,418215449_102
11,2014,418215449,3,103,12,2129,418215449_103
31,2014,418215946,3,101,12,810,418215946_101
11,2014,418228259,3,102,12,0,418228259_102
11,2014,418228660,3,101,12,4310,418228660_101
11,2014,418228660,3,102,12,4310,418228660_102
11,2014,418228831,3,101,12,10414,418228831_101
11,2014,418228831,3,102,12,10414,418228831_102
11,2014,418228831,3,103,12,10414,418228831_103
11,2014,418228831,3,301,12,0,418228831_301
11,2014,418228831,3,302,12,0,418228831_302
11,2014,418276060,3,101,12,914,418276060_101
11,2014,418276060,3,102,12,699,418276060_102
11,2014,418276060,3,103,12,914,418276060_103
11,2014,418276060,3,104,12,914,418276060_104
11,2014,418276630,3,101,12,321,418276630_101
11,2014,418276944,3,101,12,5279,418276944_101
11,2014,418276944,3,102,12,5279,418276944_102
11,2014,418276944,3,201,12,5279,418276944_201
11,2014,418294283,3,101,12,7241,418294283_101
11,2014,418294283,3,102,12,7241,418294283_102
11,2014,418294283,3,103,12,7241,418294283_103
11,2014,418294283,3,104,12,7241,418294283_104
11,2014,418294852,3,101,12,1455,418294852_101
11,2014,418294852,3,102,12,1455,418294852_102
11,2014,418294946,3,101,12,69931,418294946_101
11,2014,418303086,3,102,12,6868,418303086_102
11,2014,418303086,3,103,12,6868,418303086_103
11,2014,418303086,3,301,12,6868,418303086_301
11,2014,418303316,3,101,12,3891,418303316_101
11,2014,418303449,3,101,12,8724,418303449_101
11,2014,418303449,3,102,12,8724,418303449_102
11,2014,418303449,3,103,12,8724,418303449_103
11,2014,418334060,3,101,12,8346,418334060_101
11,2014,418334060,3,102,12,8346,418334060_102
11,2014,418334197,3,101,12,2,418334197_101
11,2014,418334197,3,102,12,2,418334197_102
11,2014,418334259,3,101,12,23829,418334259_101
11,2014,418334259,3,102,12,23829,418334259_102
11,2014,418334259,3,103,12,23829,418334259_103
21,2014,418334596,3,101,12,3196,418334596_101
11,2014,418359149,3,101,12,23544,418359149_101
11,2014,418359149,3,102,12,23544,418359149_102
11,2014,418359259,3,101,12,41036,418359259_101
11,2014,418359259,3,102,12,41036,418359259_102
11,2014,418359294,3,101,12,19939,418359294_101
11,2014,418359294,3,102,12,19939,418359294_102
